"MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","YrSold","SaleType","SaleCondition"
20,"RL",71,9254,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",210,"Gd","TA","PConc","Gd","TA","No","GLQ",119,"Unf",0,1602,1721,"GasA","Ex","Y","SBrkr",1721,0,1721,1,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2005,"RFn",2,554,"TA","TA","Y",168,27,0,1,2007,"WD","Normal"
60,"RL",74,11002,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1048,"Unf",0,341,1389,"GasA","Ex","Y","SBrkr",1411,1171,2582,1,0,2,1,4,1,"Gd",9,"Typ",1,"Attchd",1998,"Fin",3,758,"TA","TA","Y",286,60,0,1,2007,"WD","Normal"
120,"RL",43,3182,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",14,"Gd","TA","PConc","Gd","Gd","No","GLQ",16,"Unf",0,1330,1346,"GasA","Ex","Y","SBrkr",1504,0,1504,0,0,2,0,2,1,"Gd",7,"Typ",1,"Attchd",2005,"Fin",2,437,"TA","TA","Y",156,20,0,5,2008,"WD","Normal"
60,"RL",72,16387,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","Stone",215,"Gd","TA","PConc","Ex","Gd","No","GLQ",1369,"Unf",0,369,1738,"GasA","Gd","Y","SBrkr",1738,851,2589,1,0,2,1,4,1,"Ex",11,"Typ",1,"Attchd",2006,"RFn",3,831,"TA","TA","Y",0,0,0,8,2006,"New","Partial"
70,"C (all)",60,5280,"Pave","Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,7,1895,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","Stone","Fa","Fa","No","Unf",0,"Unf",0,173,173,"GasA","Ex","N","SBrkr",825,536,1361,0,0,1,0,2,1,"TA",6,"Typ",0,"Detchd",1895,"Unf",1,185,"Fa","TA","Y",0,123,0,7,2008,"WD","Normal"
190,"RM",69,9142,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",5,5,1900,2006,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Fa","BrkTil","Fa","TA","No","Unf",0,"Unf",0,797,797,"GasA","TA","N","FuseA",830,797,1627,0,0,2,0,4,2,"TA",10,"Typ",0,"Detchd",1950,"Unf",2,420,"Fa","Po","N",192,0,60,2,2008,"WD","Normal"
20,"RL",90,13200,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story",6,6,1958,1958,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",187,"TA","TA","CBlock","TA","TA","No","LwQ",958,"Unf",0,437,1395,"GasA","Ex","Y","SBrkr",1570,0,1570,1,0,1,0,3,1,"TA",5,"Typ",1,"Attchd",1958,"RFn",2,441,"TA","TA","Y",490,0,0,5,2008,"WD","Normal"
30,"RL",70.9221034624447,12342,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,1940,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",262,"Unf",0,599,861,"GasA","Ex","Y","SBrkr",861,0,861,0,0,1,0,1,1,"TA",4,"Typ",0,"Detchd",1961,"Unf",2,539,"TA","TA","Y",158,0,0,3,2009,"WD","Normal"
20,"RL",70,12243,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",5,6,1971,1971,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",998,"Unf",0,486,1484,"GasA","Gd","Y","SBrkr",1484,0,1484,0,0,2,0,3,1,"TA",7,"Typ",1,"Attchd",1971,"Unf",2,487,"TA","TA","Y",224,0,0,2,2007,"WD","Normal"
85,"RL",88,11782,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SFoyer",5,7,1961,1995,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",899,"Unf",0,210,1109,"GasA","TA","Y","SBrkr",1155,0,1155,1,0,1,0,3,1,"Gd",6,"Min2",0,"Detchd",1987,"Unf",2,576,"TA","TA","Y",192,0,0,6,2010,"WD","Normal"
75,"RM",90,22950,"Pave","IR2","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","2.5Fin",10,9,1892,1993,"Gable","WdShngl","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","BrkTil","TA","TA","Mn","Unf",0,"Unf",0,1107,1107,"GasA","Ex","Y","SBrkr",1518,1518,3608,0,0,2,1,4,1,"Ex",12,"Typ",2,"Detchd",1993,"Unf",3,840,"Ex","TA","Y",0,260,0,6,2006,"WD","Normal"
160,"FV",34,3604,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,689,689,"GasA","Ex","Y","SBrkr",703,689,1392,0,0,2,0,2,1,"Gd",5,"Typ",0,"Detchd",2007,"Unf",2,540,"TA","TA","Y",0,102,0,2,2008,"WD","Abnorml"
50,"C (all)",60,7500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",4,4,1920,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",0,"Unf",0,698,698,"GasA","TA","Y","FuseA",698,430,1128,0,0,1,0,2,1,"TA",6,"Typ",0,"Detchd",1980,"RFn",2,528,"TA","TA","Y",30,0,164,4,2010,"COD","Abnorml"
60,"RL",102.82026840459,14311,"Pave","IR1","Lvl","AllPub","FR3","Gtl","NWAmes","Norm","Norm","1Fam","2Story",8,5,1996,1996,"Gable","CompShg","VinylSd","VinylSd","BrkFace",402,"Gd","TA","PConc","Gd","TA","No","GLQ",1023,"Unf",0,213,1236,"GasA","Ex","Y","SBrkr",1236,1104,2340,1,0,2,1,4,1,"Gd",9,"Typ",1,"Attchd",1996,"RFn",3,787,"TA","TA","Y",192,180,218,6,2008,"WD","Normal"
20,"RL",90,11520,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","PosN","Norm","1Fam","1Story",9,5,2005,2005,"Hip","CompShg","VinylSd","VinylSd","BrkFace",615,"Gd","TA","PConc","Ex","TA","No","GLQ",110,"Unf",0,1588,1698,"GasA","Ex","Y","SBrkr",1698,0,1698,0,0,2,0,3,1,"Ex",7,"Typ",1,"Attchd",2005,"Fin",3,730,"TA","TA","Y",192,74,0,6,2010,"WD","Normal"
90,"RL",75,8235,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",5,4,1977,1977,"Gable","CompShg","Plywood","Plywood","BrkFace",99,"TA","TA","CBlock","TA","TA","No","Rec",483,"Unf",0,1466,1949,"GasA","TA","Y","SBrkr",1949,0,1949,0,0,2,0,6,2,"TA",10,"Typ",0,"Attchd",1977,"RFn",2,586,"TA","TA","Y",32,0,0,5,2006,"WD","Normal"
160,"RM",21,1680,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,8,1972,2007,"Gable","CompShg","HdBoard","HdBoard","BrkFace",510,"TA","TA","CBlock","TA","TA","No","ALQ",162,"Unf",0,321,483,"GasA","Gd","Y","SBrkr",483,504,987,0,0,1,1,2,1,"Gd",5,"Typ",0,"Detchd",1972,"Unf",1,264,"TA","TA","Y",250,0,0,5,2009,"WD","Normal"
30,"RL",60,10914,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1Story",3,3,1929,1950,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Fa","CBlock","TA","TA","Mn","Unf",0,"Unf",0,715,715,"GasA","Fa","N","FuseP",715,0,715,0,0,1,0,2,1,"TA",4,"Typ",0,"Detchd",1967,"Unf",2,660,"Fa","TA","N",0,0,75,8,2006,"WD","Normal"
80,"RL",37,7937,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","SLvl",6,6,1984,1984,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Av","GLQ",819,"Unf",0,184,1003,"GasA","TA","Y","SBrkr",1003,0,1003,1,0,1,0,3,1,"TA",6,"Typ",0,"Detchd",1984,"Unf",2,588,"TA","TA","Y",120,0,0,3,2006,"WD","Normal"
120,"FV",30,5330,"Pave","IR2","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",8,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","None",36.6083923800615,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1550,1550,"GasA","Ex","Y","SBrkr",1550,0,1550,0,0,2,1,2,1,"Gd",5,"Typ",0,"Attchd",2007,"Fin",2,528,"TA","TA","Y",0,102,0,7,2007,"New","Partial"
20,"RL",95,13015,"Pave","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1996,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","PConc","Gd","TA","No","Unf",0,"Unf",0,1100,1100,"GasA","Ex","Y","SBrkr",1100,0,1100,0,0,1,1,3,1,"TA",5,"Typ",0,"Attchd",1996,"RFn",2,462,"TA","TA","Y",0,0,0,6,2006,"WD","Normal"
80,"RL",56,8872,"Pave","IR1","HLS","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",6,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,384,384,"GasA","Gd","Y","SBrkr",754,630,1384,0,0,2,1,3,1,"TA",7,"Typ",1,"BuiltIn",1997,"Fin",2,390,"TA","TA","Y",0,0,0,3,2007,"WD","Normal"
20,"RL",108,11358,"Pave","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","Norm","Norm","1Fam","1Story",7,7,1972,1987,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",346,"Unf",0,778,1124,"GasA","TA","Y","SBrkr",1610,0,1610,0,0,2,0,3,1,"Gd",8,"Typ",1,"Attchd",1972,"RFn",2,515,"TA","TA","Y",202,0,0,5,2007,"WD","Normal"
20,"RL",78.0947768309643,36500,"Pave","IR1","Low","AllPub","Inside","Mod","ClearCr","Norm","Norm","1Fam","1Story",5,5,1964,1964,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkCmn",621,"TA","Gd","CBlock","TA","TA","Av","Rec",812,"Unf",0,812,1624,"GasA","Fa","Y","SBrkr",1582,0,1582,0,1,2,0,4,1,"TA",7,"Typ",0,"Attchd",1964,"Unf",2,390,"TA","TA","N",168,198,0,6,2006,"WD","Normal"
120,"RL",89,8232,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2007,2008,"Hip","CompShg","MetalSd","MetalSd","BrkFace",714,"Ex","TA","PConc","Ex","TA","No","GLQ",1204,"Unf",0,596,1800,"GasA","Ex","Y","SBrkr",1800,0,1800,1,0,2,0,2,1,"Ex",6,"Typ",1,"Attchd",2008,"RFn",3,944,"TA","TA","Y",210,0,0,6,2008,"New","Partial"
20,"RL",60,10122,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",4,6,1948,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","Gd","Gd","Av","Rec",0,"GLQ",0,0,0,"GasA","TA","N","SBrkr",869,0,869,0,0,1,0,1,1,"TA",3,"Typ",0,"Detchd",1948,"Unf",1,390,"Fa","TA","N",0,0,66,8,2008,"WD","Normal"
20,"RL",61,8800,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,7,1977,2008,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Mn","LwQ",532,"Rec",144,364,1040,"GasA","TA","Y","SBrkr",1040,0,1040,0,0,2,0,3,1,"Gd",5,"Typ",0,"Detchd",1977,"Unf",2,484,"TA","TA","Y",0,0,0,9,2009,"WD","Normal"
50,"RL",80,8480,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",5,5,1947,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",442,"Unf",0,390,832,"GasA","TA","Y","SBrkr",832,384,1216,0,0,1,0,2,1,"TA",6,"Typ",0,"Detchd",1947,"Unf",1,336,"TA","TA","Y",158,0,102,10,2008,"COD","Abnorml"
20,"RL",91,10437,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","1Story",8,6,1995,1995,"Hip","CompShg","MetalSd","MetalSd","BrkFace",660,"Gd","Gd","PConc","Gd","TA","Gd","GLQ",1696,"Unf",0,413,2109,"GasA","Ex","Y","SBrkr",2113,0,2113,1,0,2,1,2,1,"Gd",7,"Typ",1,"Attchd",1995,"Fin",3,839,"TA","TA","Y",236,46,0,8,2008,"WD","Normal"
60,"RL",60,7500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,994,994,"GasA","Gd","Y","SBrkr",1028,776,1804,0,0,2,1,3,1,"Gd",7,"Typ",1,"Attchd",1999,"Fin",2,442,"TA","TA","Y",140,60,0,6,2010,"WD","Normal"
20,"RL",72.903873727569,11875,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1344,1344,"GasA","Ex","Y","SBrkr",1344,0,1344,0,0,2,0,3,1,"TA",7,"Typ",1,"Attchd",2001,"Unf",2,686,"TA","TA","Y",328,0,0,6,2010,"WD","Normal"
60,"RL",62,7415,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",759,"Unf",0,80,839,"GasA","Ex","Y","SBrkr",864,729,1593,1,0,2,1,3,1,"TA",8,"Typ",1,"Attchd",2004,"Fin",2,398,"TA","TA","Y",100,75,0,4,2008,"WD","Normal"
20,"RL",85,10628,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,1970,1970,"Flat","Tar&Grv","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","Gd","Gd","GLQ",778,"Unf",0,499,1277,"GasA","TA","Y","SBrkr",1277,0,1277,1,0,1,0,2,1,"TA",5,"Typ",1,"Attchd",1970,"Unf",2,526,"TA","TA","Y",0,0,0,4,2007,"WD","Normal"
80,"RL",70,10500,"Pave","Reg","Lvl","AllPub","FR2","Gtl","NAmes","Norm","Norm","1Fam","SLvl",5,7,1971,2005,"Gambrel","CompShg","MetalSd","AsphShn","BrkFace",82,"TA","TA","CBlock","TA","TA","Av","ALQ",349,"Unf",0,23,372,"GasA","TA","Y","SBrkr",576,533,1109,0,1,1,0,3,1,"TA",5,"Typ",0,"BuiltIn",1971,"Unf",1,288,"TA","TA","Y",35,0,0,12,2007,"WD","Normal"
20,"RL",78,12090,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1981,1981,"Gable","CompShg","MetalSd","MetalSd","BrkFace",210,"TA","Gd","CBlock","Gd","TA","No","GLQ",588,"LwQ",228,606,1422,"GasA","TA","Y","SBrkr",1422,0,1422,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",1981,"Fin",2,576,"TA","TA","Y",276,0,0,6,2008,"WD","Normal"
160,"RM",32,3363,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",117,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,976,976,"GasA","Ex","Y","SBrkr",976,732,1708,0,0,2,0,3,1,"Gd",7,"Maj1",0,"Detchd",2004,"Unf",2,380,"TA","TA","Y",0,40,0,4,2006,"WD","Normal"
60,"RL",86,10562,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",300,"Gd","TA","PConc","Ex","TA","No","GLQ",1288,"Unf",0,294,1582,"GasA","Ex","Y","SBrkr",1610,551,2161,1,0,1,1,3,1,"Ex",8,"Typ",1,"Attchd",2007,"Fin",3,789,"TA","TA","Y",178,120,0,11,2007,"New","Partial"
160,"FV",24,2645,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",456,"Gd","TA","PConc","Gd","TA","No","GLQ",813,"Unf",0,147,960,"GasA","Ex","Y","SBrkr",962,645,1607,1,0,2,1,3,1,"Gd",7,"Typ",0,"Detchd",2000,"Unf",2,480,"TA","TA","Y",169,0,0,12,2008,"ConLD","Normal"
60,"RL",82,9942,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Gable","CompShg","MetalSd","MetalSd","BrkFace",385,"Ex","TA","PConc","Ex","Gd","Av","GLQ",1290,"Unf",0,316,1606,"GasA","Ex","Y","SBrkr",1625,466,2091,1,0,2,1,3,1,"Ex",8,"Typ",1,"Attchd",2005,"RFn",2,521,"TA","TA","Y",194,84,0,5,2006,"New","Partial"
60,"FV",79,10646,"Pave","IR1","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","BrkFace",513,"TA","TA","PConc","TA","TA","No","GLQ",681,"Unf",0,177,858,"GasA","Ex","Y","SBrkr",872,917,1789,1,0,2,1,3,1,"TA",7,"Typ",1,"Attchd",2001,"Fin",2,546,"TA","TA","Y",0,0,0,6,2008,"WD","Normal"
190,"RL",70,7000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","2fmCon","2Story",5,7,1910,1991,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","GLQ",969,"Unf",0,148,1117,"GasA","TA","Y","SBrkr",820,527,1347,1,0,1,0,3,1,"TA",5,"Typ",0,"Attchd",1957.20531497419,"RFn",0,0,"Fa","Fa","N",85,0,148,1,2008,"WD","Normal"
60,"RL",77.3011707394069,10316,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",735,"Unf",0,257,992,"GasA","Ex","Y","SBrkr",992,873,1865,1,0,2,1,3,1,"Gd",7,"Typ",1,"Attchd",2000,"RFn",3,839,"TA","TA","Y",0,184,0,6,2008,"WD","Normal"
50,"RL",60,10410,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",4,5,1915,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,1313,1313,"GasA","TA","Y","SBrkr",1313,0,2377,0,0,2,0,3,1,"Gd",8,"Min2",1,"Detchd",1954,"Unf",2,528,"TA","TA","Y",0,0,432,6,2009,"WD","Normal"
20,"RL",80,9600,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,5,1968,1968,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",758,"Unf",0,293,1051,"GasA","Gd","Y","SBrkr",1051,0,1051,1,0,1,0,3,1,"TA",6,"Typ",0,"Attchd",1968,"RFn",2,504,"TA","TA","Y",0,0,0,7,2006,"WD","Normal"
